騒然とする	そうぜんとする	시끄럽다
さえる		(머리가) 맑아지다
察する	さっする	"헤아리다, 살피다"
さも		"자못, 아주, 정말로"
しいて		"굳이, 억지로"
自覚	じかく	자각
しかけ		"장치, 속임수"
辞退	じたい	사퇴
シック		"멋진 모양, 세련된 모양"
しぶとい		"고집이 세다, 강인하다"
視野	しや	시야
ジャンル		장르
収容	しゅうよう	수용
主導権	しゅどうけん	주도권
処置	しょち	"처치, 조치"
進呈	しんてい	"진정, 증정, 드림"
すがすがしい		상쾌하다
すばしこい		민첩하다
スペース		공간
切実な	せつじつな	절실한
摂取	せっしゅ	섭취
せつない		"애달프다, 괴롭다"
設立	せつりつ	설립
セレモニー		"세레모니, 의식"
選考	せんこう	"선고, 전형"
備わる	そなわる	갖추어지다
そっけない		"무정하다, 냉담하다"
台無し	だいなし	엉망이 됨
打開	だかい	타개
だるい		나른하다
断言	だんげん	단언
忠告	ちゅうこく	충고
直感的に	ちょっかんてきに	직감적으로
つじつま		"사리, 이치"
貫く	つらぬく	관철하다
手遅れ	ておくれ	"때늦음, 시기를 놓침"
デザート		"디저트, 후식"
手順	てじゅん	"순서, 절차"
データ		데이터
同意	どうい	동의
同感	どうかん	동감
統合	とうごう	통합
到底	とうてい	도저히
どうにか		"그럭저럭, 겨우"
特技	とくぎ	특기
とぼける		시치미를 떼다
取り締まる	とりしまる	단속하다
取り次ぐ	とりつぐ	"전하다, (전화를) 연결하다"
何とぞ	なにとぞ	"부디, 아무쪼록"
なれなれしい		"지나치게 친한 척하다, 허물없다"
ナンセンス		넌센스
望ましい	のぞましい	바람직하다
ばかばかしい		몹시 어리석다
破棄	はき	파기
はじく		"튀기다, 튕겨 내다"
生やす	はやす	(수염 · 초목 등을) 기르다
ひいては		(더) 나아가서는
一息	ひといき	한숨 돌림
貧弱な	ひんじゃくな	빈약한
ファイト		투지
フォーム		"폼, 모양"
深まる	ふかまる	깊어지다
ふらふら		"휘청휘청, 비틀비틀"
ぶらぶら		① 대롱대롱 ② 어슬렁어슬렁 ③ 빈둥빈둥
振り出し		"출발점, 처음 상태"
付録	ふろく	부록
便宜	べんぎ	편의
返却	へんきゃく	"반납, 반환"
補充	ほじゅう	보충
募集	ぼしゅう	모집
ぼやける		흐려지다
見苦しい	みぐるしい	보기 흉하다
密接な	みっせつな	밀접한
見積もる	みつもる	"어림잡다, 견적 · 평가하다"
身なり	みなり	옷차림
身の回り	みのまわり	신변
未練	みれん	미련
明白な	めいはくな	명백한
名誉	めいよ	명예
目覚しい	めざましい	눈부시다
面倒を見る	めんどうをみる	돌봐주다
情報網	じょうほうもう	정보망
模型	もけい	모형
目下	もっか	"목하, 현재"
もてなす		"대접하다, 환대하다"
もろに		"정면으로, 직접"
野心	やしん	야심
ややこしい		"복잡하다, 까다롭다"
誘惑	ゆうわく	유혹
ゆとり		여유
抑制	よくせい	억제
よみがえる		되살아나다
リード		리드
連帯	れんたい	연대
ロマンチック		"로맨틱함, 낭만적임"
論理	ろんり	논리
割り込む	わりこむ	끼어들다
懸念	けねん	"염려, 우려"
心配する	しんぱいする	걱정하다
やつれる		"야위다, 여위다"
やせ衰える	やせおとろえる	수척해지다
奮闘する	ふんとうする	분투하다
必死に	ひっしに	필사적으로
不慮の	ふりょの	뜻밖의
思いがけない	おもいがけない	"뜻밖이다, 의외이다"
根こそぎ	ねこそぎ	"전부, 몽땅"
没頭する	ぼっとうする	몰두하다
熱中する	ねっちゅうする	열중하다
尺度	しゃくど	척도
基準	きじゅん	기준
わずらわしい		"성가신, 까다로운"
面倒な	めんどうな	귀찮은
はかどる		진척되다
しきたり		"관습, 관례"
慣習	かんしゅう	관습
触発	しゃくはつ	촉발
刺激	しげき	자극
閉口した	へいこうした	질렸다
気ままな	きままな	"제멋대로의, 자유로운"
若干	じゃっかん	약간
いくつか		약간
手分け	てわけ	분담
分担	ぶんたん	분담
調達	ちょうたつ	조달
スポット		장소
拮抗する	きっこうする	팽팽하다
差がない	さがない	차이가 없다
あどけない		천진난만한
無邪気な	むじゃきな	천진난만한
絶賛する	ぜっさんする	극찬하다
くつろいで		편안히 쉬고
うやむやに		흐지부지
出馬する	しゅつばする	출마하다
お手上げだ	おてあげだ	속수무책이다
どうしようもない		어찌할 도리가 없다
寡黙な	かもくな	과묵한
口数が少ない	くちかずがすくない	말수가 적은
紛糾する	ふんきゅうする	"시끄러워지다, 분규가 일어나다"
混乱する	こんらんする	혼란스럽다
ずれ込む	ずれこむ	"늦춰지다, 다음 기한까지 넘어가다"
ろくに		"제대로, 충분히 (부정)"
たいして		"그다지, 별로"
スケール		"스케일, 규모"
規模	きぼ	규모
エキスパート		"엑스퍼트, 전문가"
専門家	せんもんか	전문가
